IE.INDIC.BUGURDZI_ROMANI,me,rat,kokalo-kokalos,brek-juksi,avla,merla,rikono-rokono,piyela,kan,yak,yag,maCo,pherdo,vas,Sunla,rogo-Sing,koC,patrin,buko-jigeri,juv,brego-planin,alav,nevo,rat,nak,yek,drom,jeno,dikla,koZa,Ceren-Cerhen,bar,kham,Chib-Cib,dand,kaS,duy,pani,amen,tu
IE.INDIC.BURGENLAND_ROMANI,me,rat,kokalo,CuCi,al-perel,merel-murdayol,jukel,pil,kan,Cek-yak,Ceg-langa,maCo,Celo-pherdo,va,halgatinel-herinel,Sing,Chang,patrin,buke,juv,barto-dombo,alav-anav,nevo,rat,nak,Cek-yek,drom,jeni-jeno,dikel-terjil,vuna-cipa,Cerheni-CerheNi,bar,kham,Cib,dand,kaSt,duy,pay-pani,amen,tu
IE.INDIC.CENTRAL_AZAD_KASHMIR_GUJARI,u,r3t,h3di,Cati,a,m3r,kuto,pio,k3n,3kh,3g,m3Chi,,,suno,siNg,,p3t3r-p3to,,,,na,nio-n3ve,rath,n3kh,Ek,ra-rasto,b3ndo-3dmi,dekh,C3mbri-C3mbr3,taro,p3th3r-giti,di,jiv-jib,d3ndh,buto,do,pani,h3m,tu
IE.INDIC.CHAKMA_UnnamedInSource,mui,lo,ahr,bugk,ai,mor,hugur,ha,han,sog,agun,mach,goda-bekkan-bekkun,aht,sun,sing,ahdu,pada,sedt,ugon,mown,nang,nuo,reit,nak,ek,podth,manuch,sa,sam,tara,sil,bel,yil,dat,gach,dui,pani,ami,tui
IE.INDIC.CHATORKHAND_KHOWAR,awa,lei,koL,pap,,obri,reni,pi,kar,xEC,aNgar,maci,,bazu,kara,sruNk,,Chan,,,,nam,nox,Cui,n3skar,i,phont,moS,poSi,phust,istari,boSt,yor,ligini,don,k3n,Zu,ux,ispa,tu
IE.INDIC.CHILISSO,mo,lEl,aEthi,hiu,ayon,mirion,su,piyon,kon,oCi,hagar,Thubu,puno,hat,sunon,sigu,kutho,pathu,halli,liT3-Zu,khon,num,no,raeti,nuthi,Ek,pon,monuZu-Zok,Takon,Com,taro,bat3,Zuko-suri,Zip,don,muthu,du,ui,bE,tu
IE.INDIC.CHITRAL_GUJARI,hu,r3t,h3di,sino,aja,m3r,kuto,pio-pi,k3n,3kh,3g,m3Ci,,,sun,siNg,,p3t3r,,,,na-na,no,rath,nas-n3k,ek,ra,j3no-admi,dEkh,C3mri,tara,g3ti,di,jib,d3nd,rukh,do,pani,h3m,tu
IE.INDIC.CHITWAN,moi,,had,,ewe,m3r,kukur,pi,kan,akhi,agi,maCh3r,,hath,sun,siN,thehun,pata,,dhilo,,,l3utha,rat,nak,ek,d3g3r,m3nse,dekh,Chala,t3r3Nen,dhok,beriya,jibhi,dat,gaCh,dui,pani,h3mra,toi
IE.INDIC.CRIMEAN_ROMANI,me,rat,kokalo,SuCi-kolin,avel,merel-murdalyol,jukel-rikano,piyel,kan,yakh,yag,maSho,Salo,,Sunel,S3ng,koS,patri,buko,likh,,anav,nevo,rat,nakh,yekh,pot3,,dikhel,morthi-teni,Serxen,bar,kham,Chib,dand,tereki,duy,pani-panisi,ame,tu
IE.INDIC.DAMELI,ai,loi,3thi,CuCu,3g3,n3S,cuna,pi,kar,iC,aNgar,amr3s,,bazu,uStro,SiN,,ph3t,,,,nam,nowa,rEt,nas,Ek,ph3n,m3C,daCya,g3dra,iStari,bat,sEr,Zip,d3n,mot,du,ao,ai,tu
IE.INDIC.DAMELI_2,Ej,loy,Enthi,CuCu,acEn,nEstEn-bren,cunE,pien,kar,iC,ENgEr,amrEs,porisEn,dES,uStrunEn,siN,khuta,phat,pECE,preSu,CoL,nEm,nuwa,ret-bas,nas,ek,phEn,ZEn,binEn,gEdrE,iStari,bat,ser,Zip,dEn,tra,du,au,Ej,tu
IE.INDIC.DANG,m3i,,h3ddi,,3i,mu,kukur,pi,kan,akhi-akh,agi,m3CChi,,hath,sun,siN,thihun,p3tya,,Cilra,,,l3uw3,rat,nak,ek,d3gg3r,m3n3i,dekh,Chala,toreiya,p3tthra,din,jibh,dat,rukhwa,dui,pani,h3mr3,t3i-tu
IE.INDIC.DHUNDARI,me,loi,had3,,aja,margo,kuk3r3,piriyotCe,kan,akhya,ag,maCali,,hat,sunyo,siNg,,pan,gurdo,Tu,dung3r,nau,nayo,rat,nak,ek,gelo,motyar,dekhyo,khal,tara,bato,sur3j,jib,dat,rokh3do,do,pani,apa,tu
IE.INDIC.DIR_GUJARI,hu,r3t,h3di,sino,aja,m3r,kuto,pi,k3n,3kh,3g,m3Ci,,,son,siNg,,p3t3r,,,,na,no,rat,nas,ekh,ra,j3no,dekh,C3mri,tara,g3ti,di,jib,d3nd,rukh,do,pani,h3m,thu
IE.INDIC.DOLENJSKI_ROMANI,,rat,kokalo,CuCi-prsa,avi,meri,jukel,kapi-piyi,kan,yaC-yakh,yag,maChi,pherdo-Calo,va,Suni,roki,Chang-koC,listo,buke-parne,,brdo-hribo,ana-ime,nevo,rat,nakh,yek,,jeno-manuS,hiki,koZa,zvizda,bar,kham,Chib-Chip,dand,hrasto-kaSt,du-duy,pani,amen-meame,tu
IE.INDIC.DOMARI,ama,nhir,xar,SiSi,aw-Er,mary-mra,sXnotXa-snotXa,py-pir,kan,iki,ag,samak,barda,xast,sn-sind,qarn,,,kibda,juw-juv,jabal,nam,nawa-nava,arat,pirin,ikak-ika,pand,manus-matX,lah-lak,Zild,njum,watX-vatX,tXatX-tat,jib-Zib,dXad,sajar,di-diyEs,pani,ame-EmE,atu
IE.INDIC.EAST_SLOVAK_ROMANI,me,rat,kokal,berk-koLin,avel,jalpeskeredromeha-merel,juklo-rikono,piyel,kn-kanoro,yakh,yag,maChi-maCho,pherdo,vast,Sunel,Sing,khoC,patrin-pratin,kalobuko,juv,hedyos-playis,nav,neveduno-nevo,rat,nakh,yekh,broceLis-draska,jeno-manuS,dikhel,cipa-morCi,CerxeN,bar,kham,Chib,dand,kopaCis-stromo,duy,pani,amen,tu
IE.INDIC.FINNISH_ROMANI,me,rat,kokalos-pokalos,berek-kolin,avela,merela,juklo,mattavela-pila,kan-xunniboskiero,yak-kha,yang-xaCiba,maCo-xienoskomaCo,pherdo-phervalo,vast,xunnela,xin-xing,Cang,patrik,bukkos,ju-juv,bar-halla,nao,fereko-nevo,rat,nak,iek,piereskodrom,komunis,dikkela,morCi-sippa,xerna-glimmos,bar-barro,dives-kham,Cimb,dan,kat-ruk,duy,pani,ame,tume
IE.INDIC.GARAM_CHISHMA_KHOWAR,awa,le,khoL,pap,gi,bri,reni,pi,kar,xECh,3Ngar,m3ci,,bazu,kara,suruNg,,Can,,,,nam,nox,Chui,nEskar,i,pon,moS,poSi,phost,istari,bot,yor,ligini,don,kan,ju,ux,spa,tu
IE.INDIC.GAWAR_BATI,a,lo,h3duki,hEr3,ay3,miru,Sun3,pi,k3mt3,yicin,h3Ngar,m3Cot3,,ast,Sudu,SiN,,f3t3,,,,nam,nuNgi,yEl,nasi,y3k,fanth,manuS,balu,g3L,tar3,wat,suri,zip,d3nth,mot3,du,au,3m3,tu
IE.INDIC.GILGIT_GUJARI,hu,r3t,h3di,sin3,a,mar,kuto,pi,k3n,3kh,3g,m3Ci,,,son-sun,siNg,,p3t3r,,,,na,noi,rat,nas,Ek,ra,j3no-admi,dekh,C3m,tara,g3ti,di,jib,d3nd,ruk,do,pani,h3m,tu-tu
IE.INDIC.GREEK_ROMANY,mE,rat,kokalo,gEuzi-kolin,av,mEr,jukEl,pi,kan,yak-yakh,yak,maCo,perdo,vas,aSun,SiNk,koC,patrin,buko-kalinjo,juv,voS-vES,alav,nEvo,rat,nak,yEk-Ekh,drom,manuS-jEno,dik,koZa-morki,Ceran-Caran,bar,kam-kham,Cip,dant,kopaCi,dui,pai-pay,amEn,tu
IE.INDIC.GUJARATI,me-hu,rkt3-rudhir,hadku,st3n,av,m3r,Svana-kutru,pi,kan,n3y3n-akh,3gni,maThli,t3ko3k-Tikar,hath,sabh3l,SiNgdu,goth3n-ghut3n,p3tu-pan,y3krut,Tu,p3rv3t-p3had,nam,n3vu-nut3n,r3Tni-rat,nak,ek,p3nth,T3n-vy3kti,dekh-bhal,khal-Tamdi,taro,p3thro-p3hano,sur3T-sury3,Tibh,dat,gulmor-Tiku,be,pani,apne,tu
IE.INDIC.GURBET_ROMANI,me,rat,kokalo,CuCka-CuCi,avel-resol,merel,juSol-jukhel,piyel-pyel,kan,yakh,yag,maCo-payali,pherdino,va,asunel-kandel,Sing-Singoro,Cang,patrin,buSe-kalido,juv,play-playin,alav-nav,nevo,yrat-raSi,nakh,yek-yekh,drom-prSa,jeno,diShol-dikhel,koZa-morSi,Ceharin-Cerayin,ar-bar,kham,Chib-Cib,dand,kaS,duy,khaplo-pay,amen,tu
IE.INDIC.GURU_KALASHA,a,lui,3thi,CuCu,a,anaSi,Sua,pi,k3,EC,3Ngar,maci,,baza,saNga,SiN,,pu,,,,nom,nua,rat,nast,Ek,pon,muC,,post,tari,b3th,suri,jiph,d3ndorik,muth,du,ukh,abi,tu
IE.INDIC.GURVARI_ROMANI,me,rat,kokalo,CuCi-koLin,avel,merel-mudavel,jukel,piel,kan,yak-yakh,yag,maCo,perdo-pherdo,vast,asunel-Sunel,Sing,Cang,patrin,buko,juv,hedyo,anav-nav,nevo,ratyi,nak-nakh,ek-yek,,manuS,dikhel,cipa-morCi,Cilaga,bar,kam-kham,Chib,dand,kaSt,du-duy,payi-paNi,ame,tu
IE.INDIC.HADOTI,mu-mhu,loi,had,Chati,a,m3r,g3nd3kro,pi,kan,akh,ag,m3Chi,puro,hath,sun3,bumado,godo,pan,,,duN3r,naw,nuyo,rat,nak,ek,s3d3k-g3Lo,m3n3kh,dikh,khaL,tara,bhato,sur3j,j3byan,dad,b3r3kh-rukh,do,pani,mh3-mha,tu-thu
IE.INDIC.HALABI,me,r3k3t,hada,dud,a-e,m3r,kukur,piu,,akhi-aikh,agi,m3Cri,,hat,sun,,,pan,,okhni,doNri,nam,n3wa,rati,nak,ek,mar3g,bita,d3kh,camdi,tara,p3khna,ber,jib-jibh,dat,hira-rukhco,dui,pani,hami,tui
IE.INDIC.HINDI,mai,rakt-xun,ast,stan-Cati,ana,mar,kutta,pi,kan,ak,ag-agni,maCli,pura,hat,sun,sig,gu,patti,jigar-kaleja,ju,paha,nam,naya,ratri,nak,ek,,vyakti-manuSya,dek,tvaCa-Cal,sitara,pattar,suraj,jib-zaba,dat,pe-darxat,do,pani,ham,tu-ap
IE.INDIC.HINDI_2,mE,l3hu-xun,3sthi,kuC-st3n,ana,m3r3na,Swan-kutta,pina,kan-k3rn,akh-C3kSu,ag-atiS-3gni,m3Chli-m3tsy,bh3ra-pura,hath-h3st,sunna,siNg-viSan,janu-ghutna,p3tr-p3tta,jig3r-y3krt,ju,p3har,nam,n3ya,rat-ratri,nak-nasa,ek,p3th-p3g3d3ndi,man3v-insan-m3nuSy,dekhna,C3rm-tv3Ca,tara-sitara,p3thth3r,r3vi-sur3j-sury,jibh-z3ban-jihva,d3nt-dat,per-wrkS,do,j3l-pani,h3m,tu
IE.INDIC.HUNGARIAN_VEND_ROMANI,me,rat,kokalo,CuCi-kolin,al,merel-murdavel,Zukel,pil,kan,aty-atyh,yag,maCho,perdo-pherdo,va,Sunel,,Cang,patrin,buko,,dombo,anav,nevo,rati,nak-nakh,ek-yek,,,dikhel,cipa,Cerhin,bar,kham,Chib,dand,kaSt,duy,paN-paNi,amen,tu
IE.INDIC.JAMMUN,me,,hodi,,,mor,kuta,pi,kon,okh,ogh,moCi,,,sun,siN,,,,,,na,nowa,rat-Sam,nok,ek,ra,jona,dekh,Comro,tara,bota,dheo,jib,dhond,buta,do,pani,osi,tu-tusi
IE.INDIC.KAGHAN_GUJARI,mai,r3th,h3di,sin3,a,mar,kuto,pi,k3N,3kh-akh,3gh,m3Ci,,,sun,siN-sENg,,p3tor,,,,na-na,no-nowo,3rath,n3kh,ek,ra,admi,hEr,C3mr3,tara,par-b3ta,di,jib,d3nd,buta,do,pani,h3m,tu
IE.INDIC.KALAMI,ya,r3th,had,CiS,yei,mar,kuCur,pon,kyEn,EC,3Ngar,m3sin,,thE7r,buj,SiN7,,p3lL,,,,nom,n3m,rot,nazor,3ykh,p3n,miS,biS,C3m,ta7r,b3th,sir,jib,d3n,t3m,du,u,m3,tu
IE.INDIC.KALKOTI,mo,rath,3d,CiC-sina,yE-yal,mur,kuCur,pil,kan,iSi,3Ngar,mE7cin-mEsin,,b3khin,buj,SiN,,path,,,,na7m-nam,n3m,rat,Sumur,aykh,pan,meS,nal,Cam,ta7r,bat,sir,jib,dan,t3m-lo,du,be-wE7,bE,tu
IE.INDIC.KASHMIRI,boh,rath,adij,waT-sina,yiun3,marun3,hun-hin3,Tyun3,kan,aTh,nar-teNul,gad,trawatrawa-barit,atha,bozun3,heN,koth,panbarag-patar,khrenamaz-jiggar,zauv,koh-bal,nao,nau,at-ratkyut,nast,ak,wat,zon-Sakhs,wuThun3-deSun3,musla-post,taruk-sitara,kain-pal,aftab-siri,zeo-zaban,dand,kul,zah,ab-treS,as3,tuhi-ca
IE.INDIC.KESU_KHOWAR,awa,lei,khoL,pap,gi,bri,reni,pi,kar,xECh,aNgar,m3ci,,bazu,kara,sruNk,,Chan,,,,nam,nox,Chui,niskar,i,pon,moS,poSi,phost,istari,bot,yor,lixini,don,kan,ju,ux,spa,tu
IE.INDIC.KOHAT_CITY_HINDKO,me,r3t,h3di,sin3,a,mer-m3r,kuta,pi,k3n,3kh,3gh,m3Ci,,h3th,sun,siNg,,p3t3r,,,,na,n3wa,rat,n3k,Ek,ra,j3n3,vek,C3mra,tara,w3ta,deo,jib,dun,buta,do,pani,usi,tu
IE.INDIC.KOHISTANI_INDUS,ma,rath,har,CiC,Eh,m3r,kuCuru,pho,kan3,aCi-aC,agar,Cumba-Cumbo,,ha,Swe,SiNg3,,pan3,,,,nau,n3u,ral,n3sur,Ekh,pan,maS,n3hal3,Cam,tar,bath,suri,Zib,dan,g3i,du,we,bEh,tu
IE.INDIC.KOSOVO_ARLI_ROMANI,me,rat,kokalo,CuCi,avela,merela,juCel,piyela,khan,yakh,yag,maCho,pherdo,vas-vast,Sunela,Sing,pro,listo,yetra,juv,planina,anav,nevo,rat,nakh,yek,staza,manuS-osoba,dikhela,morti,Cereni,bar,kham,Cib,dhand,khaS,duy,pani,amen,tu
IE.INDIC.KRAKAL_KALASHA,a,lui,3thi,CuCu,,naSi,Soa,pi,ku,eC,3Ngar,m3chi,,baza,saNga,SiN,,pu,,,,nom,noa,rat,nast,Ek,pon,moiC,paSi,post,tari,bat,suri,jip,daduik,mut,du,uk,abi,tu
IE.INDIC.KUNAR_GUJARI,hu,r3t,h3di,sino,aja,m3r,kuto,pi,k3n,3kh,agh,m3Ci,,,sun,siNg,,p3t3r,,,,na,no,rat,nas,ek,ra,j3no,dEkh,C3mri,tara,p3r-g3ti,di,jib,d3nd,rukh,du,pani,h3m,tu
IE.INDIC.LAMANI,ma,loi,h3dka,baCi,anu-a,guc3rcanu-khutnu-marnu-s3macanu,kutra,pinu,kan,aNki-dola,3Ngar,macli,bharo-bhari,hat,sam3lnu,siNg,godo,palo-pan,,,pad,nam,nawo,rat,nak,ek,wat,insan-cana-cat-n3rman3s,deknu,cholnu,tara,bhata-p3tt3r,dado-surjya-t3dko,c3ban,dant,chad-pol,di,cal-pani,ham,tu
IE.INDIC.LATVIAN_ROMANI,me,rat-farba,kokalas,CuCi,avel-atyavel,merel-mulyal,jukel,iepiyel-piyel,kan,yakh,yag,maCho,pherda,vast,Sunel,rogas-Sing,Cang,patrin,buke-kalinjo,ju-juv,berga,lav-nav,neva,rat,nakh,yekh,trepkica,,dikhel,cipa,Cerhen-Cerhin,bar,kham,Chib,dand,kaSt,duy,paNing-paNi,ame-men,tu
IE.INDIC.LITHUANIAN_ROMANI,m3,rat,kukalo,kol3n,yav3l,m3r3l,jukel,pyel,kan,yakh,yag,maCho,ph3rdo,r3So,Sun3l,rogo,Cang,patrin,buko,juv,b3rga,lav,n3vo,rat,nakh,yekh,st3Cka,manuS,d3khel,c3pa,Cergh3n,bar-bary,kham,Cib,dand,kaSt,duy,pani,ame-amen,tu
IE.INDIC.LOVARA_ROMANI,me,rat,kokalo,CuCi-kolin,avel,merel,jukel-Zukel,pel-piyel,kan,yak-yakh,yag,hala-maSo,perdo,vas-vast,asunel-halgatiy,Sing,Cang,levelo-patri,buko-maya,juv-Zuv,play-playin,anav-nav,nevo,rat-ratyi,nak-nakh,eg-yeg,kerara-kirara,semili,dikhel,morCi-mortyi,Cerhay-Cherhen,bar,kham,Sib,dand,kaS-kopaCi,du-duy,payi-pani,ame-amen,tu
IE.INDIC.MACEDONIAN_ARLI_ROMANI,me,rat,kokalo,brekh-CuCi,avela,merela,jukel,piyela,kan,yak-yakh,yag-poZar,maSho-maCho,pherdo,vas,Sunela,Sing,koS-koC,listo,,juv,planina,anav,nevo,rat,nakh,yekh,,jeno,dikyela-dikhela,morti,Ceren-Cereni,bar,kham,Chib,dand,kaS,duy,pani,amen,tu
IE.INDIC.MACEDONIAN_DZAMBAZI_ROMANIAN,me,rat,kokalo,CuCa-CuCi,avel-resol,merel-merol,juShel-jukel,piyel-piyol,kan,yakh,yag,maCho,pherdino-pherdo,va,asunol-kandel,Sing-Singoro,Cang-koC,patrin,buSe-jigeri,juv,playin,alav-lafi,nevo,raSa-rat,nakh,yek-yekh,drom-prSa,jeno,diShol-dikhel,morkyi,Cerhen,bar,kham,Chib-Cib,dand,kaS,duy,pay,amen,tu
IE.INDIC.MALDIVIAN,ma,lei-le,kaSi,buk,,,balu,bon,kanfat,lo,,mas,furi,at,ahani,dalu,,fat,,ukunu,,nam,,rei-re,ne,ek,magu,,balan,ham,tari,ga,iru,dulek-du,dat,gas,de,fen,,imba
IE.INDIC.MALVI,hu,loi,hodko,,ayo,mor,kutro,piyo,kan,ankh,lay,moChi,,,sun,siN,,katoy,,,,nam,novo,rat,nakh,ek,bat,monok,dekh,Camodo,taro,bhato,donbabo,jib,dat,jhad,do,pani,hom,tu-tom
IE.INDIC.MANSEHRA_HINDKO,me,xun,h3di,mome,a,m3r,kuth3,pi,k3n,3kh,3g,m3Ci,,ba,son,siNg,,p3t3r,,,,na,n3wa,rat,n3k,Ekh,ra,admi-b3nda,dEx,C3mra,tara,b3ta,di,jib,d3nd,buta,do,pani,3si,tu
IE.INDIC.MARATHI,mi,rat,hEdi7,,ye,mr3tyu7,k3tra7,bi,kan37,doLE7,ag37,maCli,purn37,hath,ayk,sund,ghutn37,pan,,j3ntu7,pahad,nav,n3vin,ratri7,nak,ek,marg37,manus,b3g,C3mdi,tare,d3g3d,sury37,jib,dant,vrikS37,don,pani,ap3n,tula
IE.INDIC.MARATHI_2,mi,rakt3,,,yen3,m3r,kutra,pi,kan,dola,,masa,bh3y,hat,3ik-Sru,SiNg,,pan,,,doNg3r,naw,n3we,ratr3,nak,ek,r3sta,manus,pah-dis,sal,tara,d3ged,sury3-surya,yibh,dat,yhad,don,pani,amhi,tu
IE.INDIC.MORANG,h3rne,,h3ddi,,ya,m3r,kutta,pibe,kan,akh,agin,maCh3,,hath,sun,siN,hethun,p3tt3i,,dhil3,,,lejja,rati,naknakh,ek,d3g3r,manus,dekh,Ch3lla,tara,p3tth3l,suruj,jiha,dat,gaC,dui,pani,h3m3rasiya,tya
IE.INDIC.NAWAR_ZUTT,ama,inhir,Xar,CiC,auar,marar,snota,piar,kan,iki,ag,semak,barda,Xast,sinar,kurn,doni,Xat,,jui,tala,nam,nawa,arat,pirn,yika-yikak,pand,mat,laher,kal,lahiSi,wat-wut,gam,ajib-jib,donda,saZara,di-dia-dies-diis-dis,pani,ame-ame7,atu
IE.INDIC.NEPALI,ma,ragat,har,Catu-dut,aunu,,kukur,kanu,kan,anka,ago,maCa,bareko-puro,hat,sunnu,sig,gura,pat,kalejo,jumra,pahar,nau,naya-naulo,rat,nak,ek,Corbato,jana-manCe,dek-her,Cala,tara,duga,gam,jibro,dat,ruk,,pani-jal,,
IE.INDIC.NORTHERN_AZAD_KASHMIR_GUJARI,u,Lo,h3di,sino,ao,m3r,kuto,pio,k3n,3kh,3gh,m3Ci,,,suno,siNg,,p3t3r,,,,na,no-n3wo,rath,n3kh,Ek,ra,j3no-admi,dEkho,c3mbri,taro,b3to,di,jib,d3ndh,buto,do,pani,h3m,t3m-tu
IE.INDIC.NORTH_RUSSIAN_ROMANI,m3,rat,kokalo,SuCi-kol3n,av3la-yav3la,m3r3la-xasyola,rikono,pyela-v3pyela,kan,yakh,yag,maSo,ph3rdo,vast,Sunela-uSunela,Sing,Sang,,,juv,b3rga,kharib3-lav,nevo,raSa-rat,nakh,yekh,,manuS,d3kh3la-ud3kh3la,c3pa,Cerg3n,bar,kham,Cib,dand,dr3vo,duy,pan3,am3,tu
IE.INDIC.ODIR_KHOWAR,awa,lei,kol,pap,gi,bri,reni,pi,kar,xECh,aNgar,m3ci,,bazu,kara,suruNg,,Chan,,,,nam,nox,Chui,n3skar,i,pon,moS,poSi,phost,istari,bort,yor,ligini,don,kan,ju,ux,ispa,tu
IE.INDIC.ORIYA,m5u,rokto,haro,Thati,as,mor,kukuro,pi,kano,akhi,n5i5a,maTho,pureneno-bhortti,hato,sun,singo,anthu,potro,koliTa,,porboto,namo,nua,rati,nako,eko-eke-ko,rasta,loko,dekh,Tomoda,tora-tara,pothoro,surTyo,Tibho,danto,gotho,dui-di-duh5e,pani,ame,tu
IE.INDIC.ORIYA_KOTIA,mui,boni,ad,dud,aibar,bodoibar-murtuoibar,kukur,duNkbar,kan,aNki,ombaizoi-zagnizoi,maT,gula-purti,at,sunbar,siNg,mandi,reki,koloz,ukni,iskinda,nau,nua,rati,nak,ek,bat,lok-mansi,dekhiba,Tam,tara,pakan-pakna,suriz,zib,dant,goT,dui,pani,amu,tui
IE.INDIC.PAKHA_GOLAM_HINDKO,me,lou,3di,sin3,a-aja,m3r,kut3,pi,k3n,3kh,3g,m3Ci,,hath,son,siNg,,p3tor,,,,na,n3wi-n3w3,rat,n3k,ek,ra,b3nd3-j3n3,wekh-t3k,C3mr3,tara,p3thor,deo,jib,d3nd,but3,do,pani,3si,tu
IE.INDIC.PALI,ahaN-amha,rudhira-lohita,athi-kantaka,thana-kuCa,agachati-ayati,marati-Cavati,sunakha-suvana,pivati-pati,sota-kana,akhi,agi,maCha,puna,hatha-bhuja,sunati-nisameti,siNga-visana,janu,pata-pana,yakana,uka,pabata-giri,nama,nava,nisa-rajani,nasa-nasika,eka,patha-adha,pugala-jana,pasati-pekhati,taCa-Cama,tara,sila-pasana,suriya,jivha,danta-radana,rukha-padapa,dvi,jala-udaka,mayaN-amhe,tumhe
IE.INDIC.PARGAM_NISAR_KHOWAR,awa,lei,kol,pap,gi,obri,reni,pi,kar,xiC,angar,m3ci,,bazu,kara,,,Chan,,,,nam,nox,Cui,n3skar,i,pon,moS,,post,istari,boSt,yor,ligini,don,kan,ju,ux,spa,tu
IE.INDIC.PESHAWAR_CITY_HINDKO,me,xun,h3di,mome,a,mar,kutha,pi,k3n,ekh,ag,m3,,ba,sun,siN-siNgh,,p3th3,,,,nam,n3wa,rath,n3kh,ekh-ik3,r3sta,admi,dhEkh,C3m3ra,tara,wata-p3th3r,sur3C,zuban,d3nth,d3r3t,do,pani,3si,tu
IE.INDIC.PROTO_HINDKO,me,low,hodi,sino,,mor,kuta,pi,kon,okh,ogh,moCi,,,sun,siN,,potor,,,,na,nowa,rat-Sam,nok,ek,ra,jona,wekh,Comro,tara,wota,dheo,jib,dhot,buta,do,pani,osi,tu-tusi
IE.INDIC.PROTO_NORTHERN_HINDKO,me,low,hodi,,,mor,kuta,pi,kon,okh,ogh,moCi,,,sun,siN,,potor,,,,na,nowa,rat-Sam,nok,ek,ra,jona,dekh,Comro,tara,bota,dheo,jib,dhot,buta,do,pani,osi,tu-tusi
IE.INDIC.PROTO_SOUTHERN_HINDKO,me,low,hodi,sino,,mor,kuta,pi,kon,okh,og,moCi,,,sun,siN,,potor,,,,na,nowa,rat-Sam,nok,ek,ra,jona,wekh,Comro,tara,wota,deo,jib,dont,buta,do,pani,osi,tu-tusi
IE.INDIC.PROTO_THARU,m3i-moi,,h3dd,,ey-ewe,m3r,kutta-kukkur,pi,k3nn,3kkhi,3ggi,m3CCher,,h3tth,sun,siNg,thehun,p3tt,,dhilo,,,n3,r3tti,nekkh,ekk,d3gg3r,m3n-manus,dekkh,kh3ll-Ch3lla,t3r3N,p3tth3ra,,jibbhi-jiha,d3nt,gaC-rukkh,dui,pani,,t3i-toi-tum
IE.INDIC.PROTO_WESTERN_PUNJABI,me,low,hodi,sino,,mor,kuta,pi,kon,okh,og,moCi,,,sun,siN,,potor,,,,na,nowa,rat-Sam,nok,ek,ra,jona,wekh,Comro,tara,wota,deo,jib,dond,buta,do,pani,osi,tu-tusi
IE.INDIC.PUNJABI_MAJHI,mai,khun-lau,haddi,Thati,ana-auna,marna,kutta,pina,kann,akkh,agg,maTThali-maTThi,pura-paria,hatth,suna,siNg,goda,patta-pattar,kaleTa,Tu,par,na,nava,rat,nakks,ikk,sarak,admi-banda-insan,vekhna,khall-Tamra-Tamm,tara,vatta,suraT,Tib,dand,daraxt,do,pani,asi-asa,tusi
IE.INDIC.PURIGAL_PHALURA,m3,rath,h3duNk,,ya,muro,kuCuro,pi,kan,3Ci,aNgar,m3ci,,hath,katE,SiNg3,,pala,,,,nam,nao,rot,nast,ak,pand,miS,dahE,pusto,toro,bat,suri,jiph,dand,mot,du,bi,bE,tu
IE.INDIC.RANA,m3i,,h3dda,,a,m3r,kutta,pi,kan,akhi,agi,m3Ch3ri,,hath,sun,siN,ghutu,p3tta,,diNger,,,n3u,rat,naknakh,ek,d3g3r,m3n3i,dekh,khal,tara,p3tthar-p3tth3ra,din,jibh,dat,rukha,,pani,h3m,t3i-turn
IE.INDIC.RELI,mi,rogoto,addo,Tati-momoma,ayvaro,moriTevaro,kukoro,pivaro,kanno,anki,nia,maTTo,purtikiri,atto,sinvaro,singo,muduku,aku,kaliya,ukini,bodoporto,nam,nata,ratti,nakko,gute,battu,loku,,somoTobbu,Tukka,potoro,suryudu,Tibbo,danto,gaTTo,dera,pani,ame-amme,tu
IE.INDIC.ROMUNGRO_ROMANI,me,rat-manuSanorat,kokalo,CuCi,avel,merel,jukel,piyel,kan,aty-atyh,yag,maCho,perdo-pherdo,va,Sunel,Sing,Cang,patrin,buko,ju,hedyo,anav,nevo,rati,nak-nakh,ek-yek,,,dikhel,cipa,Cerhen,bar,kham,Chib,dand,kaSt,du-duy,pani-paNi,amen,tu
IE.INDIC.SADRI,moe,lohu,hEr,Coti,,mor,kukur,pi,kan,oikh,aig,moChori,purE-bhorEl,hath,sun,sih,ghutni-theunE,potEi,koryE,dhilE,pohar,naw,noya-nova,rait,nak,ek,dohor-dogor,Edmi-mowE,dekh,CEle-CewrE,teirgon-toirgon,pokhnE,beir,jibh,dat,goC-gaC,,pani,homre,toe
